Time,Repl1,Repl2,Repl3;;;Time;Rep1;Rep2;Rep3;;;;Conversion of OD600 to cells/ml;Time;Rep1;Rep2;Rep3
0h,0.033,0.031,0.033;;;0;0,033;0,031;0,033;;;;1,0 * 5 * 10^8 cells/ml;0;16500000;15500000;16500000
1h,0.052,0.055,0.037;;;1;0,052;0,055;0,037;;;;;1;26000000;27500000;18500000
2h,0.171,0.166,0.173;;;2;0,171;0,166;0,173;;;;;2;85500000;83000000;86500000
3h,0.306,0.293,0.300;;;3;0,306;0,293;0,3;;;;;3;153000000;146500000;150000000
4h,0.770,0.686,0.708;;;4;0,77;0,686;0,708;;;;;4;385000000;343000000;354000000
5h,1.255,1.250,1.292;;;5;1,255;1,25;1,292;;;;;5;627500000;625000000;646000000
6h,1.477,1.472,1.509;;;6;1,477;1,472;1,509;;;;;6;738500000;736000000;754500000
7h,1.749,1.584,1.569;;;7;1,749;1,584;1,569;;;;;7;874500000;792000000;784500000
8h,1.760,1.860,1.732;;;8;1,76;1,86;1,732;;;;;8;880000000;930000000;866000000
16h,1.779,1.815,1.734;;;16;1,779;1,815;1,734;;;;;16;889500000;907500000;867000000
24h,1.765,1.633,1.657;;;24;1,765;1,633;1,657;;;;;24;882500000;816500000;828500000
